Model	NoReC	delta (f1)	Rank
@extended	66.55	xmark	5
@extendedscratch	55.28	xmark	13
@base	59.49	xmark	12
@basescratch	68.99	xmark	2
@fiction	63.46	--5.5	8
@nonfiction	62.49	--6.5	10
@factual	72.14	+3.2	1
@newspapers	68.81	--0.2	3
@books	62.96	--6.0	9
@rightholders	68.35	--0.6	4
@untranslatedwithnewspapers	65.12	--3.9	6
@untranslated	63.5	--5.5	7
@translated	62.28	--6.7	11
Random	48.43	xmark	14
Constant	40.12	xmark	15
Random	48.43	xmark	14
Constant	40.12	xmark	15
Random	48.43	xmark	14
Constant	40.12	xmark	15
@extended	86.0	xmark	2
@extendedscratch	65.4	xmark	13
@base	87.44	xmark	1
@basescratch	67.03	xmark	10
@fiction	68.97	+1.9	8
@nonfiction	66.81	--0.2	11
@factual	71.49	+4.5	5
@newspapers	69.29	+2.3	7
@books	70.29	+3.3	6
@rightholders	73.32	+6.3	3
@untranslatedwithnewspapers	72.29	+5.3	4
@untranslated	67.04	-0.0	9
@translated	66.34	--0.7	12
Random	48.43	xmark	14
Constant	40.12	xmark	15
Random	48.43	xmark	14
Constant	40.12	xmark	15
Random	48.43	xmark	14
Constant	40.12	xmark	15
@extended	86.68	xmark	2
@extendedscratch	69.95	xmark	12
@base	87.13	xmark	1
@basescratch	71.16	xmark	10
@fiction	72.98	+1.8	8
@nonfiction	70.71	--0.5	11
@factual	77.9	+6.7	4
@newspapers	75.51	+4.4	6
@books	75.09	+3.9	7
@rightholders	78.44	+7.3	3
@untranslatedwithnewspapers	77.36	+6.2	5
@untranslated	72.55	+1.4	9
@translated	66.63	--4.5	13
Random	48.43	xmark	14
Constant	40.12	xmark	15
Random	48.43	xmark	14
Constant	40.12	xmark	15
Random	48.43	xmark	14
Constant	40.12	xmark	15
