Model	NoReC	delta (f1)	Rank
@extended	44.97	xmark	14
@extendedscratch	48.41	xmark	13
@base	54.81	xmark	11
@basescratch	70.09	xmark	4
@fiction	66.14	--4.0	5
@nonfiction	70.1	-0.0	3
@factual	64.6	--5.5	7
@newspapers	57.11	--13.0	10
@books	70.71	+0.6	2
@rightholders	65.07	--5.0	6
@untranslatedwithnewspapers	62.89	--7.2	8
@untranslated	70.88	+0.8	1
@translated	58.57	--11.5	9
Random	48.52	xmark	12
Constant	40.75	xmark	15
Random	48.52	xmark	12
Constant	40.75	xmark	15
Random	48.52	xmark	12
Constant	40.75	xmark	15
Random	48.52	xmark	12
Constant	40.75	xmark	15
@extended	84.73	xmark	2
@extendedscratch	75.59	xmark	3
@base	85.65	xmark	1
@basescratch	63.01	xmark	8
@fiction	67.61	+4.6	5
@nonfiction	54.9	--8.1	13
@factual	63.79	+0.8	6
@newspapers	62.39	--0.6	9
@books	59.38	--3.6	11
@rightholders	63.72	+0.7	7
@untranslatedwithnewspapers	68.54	+5.5	4
@untranslated	62.09	--0.9	10
@translated	57.06	--5.9	12
Random	48.52	xmark	14
Constant	40.75	xmark	15
Random	48.52	xmark	14
Constant	40.75	xmark	15
Random	48.52	xmark	14
Constant	40.75	xmark	15
Random	48.52	xmark	14
Constant	40.75	xmark	15
@extended	81.5	xmark	3
@extendedscratch	82.09	xmark	2
@base	88.9	xmark	1
@basescratch	65.6	xmark	13
@fiction	73.07	+7.5	11
@nonfiction	76.79	+11.2	5
@factual	79.45	+13.9	4
@newspapers	74.91	+9.3	9
@books	74.79	+9.2	10
@rightholders	75.35	+9.8	8
@untranslatedwithnewspapers	75.49	+9.9	7
@untranslated	76.42	+10.8	6
@translated	68.53	+2.9	12
Random	48.52	xmark	14
Constant	40.75	xmark	15
Random	48.52	xmark	14
Constant	40.75	xmark	15
Random	48.52	xmark	14
Constant	40.75	xmark	15
Random	48.52	xmark	14
Constant	40.75	xmark	15
Random	48.52	xmark	14
Constant	40.75	xmark	15
@extended	87.13	xmark	2
@extendedscratch	88.79	xmark	1
@base	86.61	xmark	3
@basescratch	68.82	xmark	13
@fiction	79.35	+10.5	11
@nonfiction	85.8	+17.0	5
@factual	85.84	+17.0	4
@newspapers	83.85	+15.0	8
@books	82.12	+13.3	10
@rightholders	84.56	+15.7	6
@untranslatedwithnewspapers	83.16	+14.3	9
@untranslated	83.88	+15.1	7
@translated	78.09	+9.3	12
Random	48.52	xmark	14
Constant	40.75	xmark	15
Random	48.52	xmark	14
Constant	40.75	xmark	15
Random	48.52	xmark	14
Constant	40.75	xmark	15
Random	48.52	xmark	14
Constant	40.75	xmark	15
Random	48.52	xmark	14
Constant	40.75	xmark	15
