Model	noropenbookqa_nb (acc)	delta (acc)	Rank
@extended	36.18	xmark	1
@extendedscratch	30.49	xmark	4
@base	33.33	xmark	2
@basescratch	31.01	xmark	3
@fiction	28.68	--2.3	11
@nonfiction	28.68	--2.3	12
@factual	29.46	--1.6	8
@newspapers	28.42	--2.6	13
@books	29.46	--1.6	7
@rightholders	29.72	--1.3	5
@untranslatedwithnewspapers	29.72	--1.3	6
@untranslated	28.94	--2.1	10
@translated	29.46	--1.6	9
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
@extended	39.53	xmark	2
@extendedscratch	32.04	xmark	5
@base	43.41	xmark	1
@basescratch	32.82	xmark	4
@fiction	29.97	--2.9	11
@nonfiction	29.72	--3.1	12
@factual	31.27	--1.6	6
@newspapers	32.82	-0.0	3
@books	29.97	--2.9	10
@rightholders	30.49	--2.3	9
@untranslatedwithnewspapers	30.75	--2.1	8
@untranslated	29.72	--3.1	13
@translated	31.27	--1.6	7
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
@extended	40.57	xmark	2
@extendedscratch	34.88	xmark	4
@base	46.0	xmark	1
@basescratch	33.33	xmark	8
@fiction	31.52	--1.8	13
@nonfiction	32.82	--0.5	11
@factual	32.82	--0.5	10
@newspapers	33.59	+0.3	5
@books	32.82	--0.5	9
@rightholders	33.33	-0.0	7
@untranslatedwithnewspapers	33.59	+0.3	6
@untranslated	32.3	--1.0	12
@translated	34.88	+1.6	3
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
@extended	39.79	xmark	2
@extendedscratch	35.4	xmark	11
@base	46.51	xmark	1
@basescratch	35.4	xmark	10
@fiction	31.27	--4.1	13
@nonfiction	36.95	+1.6	3
@factual	36.18	+0.8	8
@newspapers	34.37	--1.0	12
@books	36.18	+0.8	7
@rightholders	36.43	+1.0	5
@untranslatedwithnewspapers	36.43	+1.0	6
@untranslated	35.66	+0.3	9
@translated	36.69	+1.3	4
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
