Model	Generation	Classification	Question Answering	Ranking
extended	45.80511911799204	77.09279084889882	43.76652806422552	77.44460878139319
base	42.842124430128564	69.53965188724523	42.92824657962822	77.71812862858346
base + books	44.95186004943553	76.20210581835099	42.55710072681452	80.9672619047619
base + newspapers	50.84012346607698	76.57027957569079	40.59531784116855	79.32881773399015
base + books + newspapers	45.63864285773303	78.94387348482914	42.720305516913335	80.40780456103036
base + fiction books	42.93578324308075	74.15956962735902	39.82736178864257	80.53972212326327
base + nonfiction books	44.62905516952825	76.30185623835497	42.93900494566811	80.94953936348409
base + nonfiction books + newspapers	46.17543353956945	78.9905087290538	43.52980713408559	80.53252551020408
base + original books	44.8894954276102	75.46229964285138	42.781849130620515	82.6974703349134
base + original books + newspapers	46.00005848804148	77.72114993183112	43.15664143927416	80.99193815239298
base + translated books	42.584202532147025	72.21566350949206	40.74794278796449	81.61913931169387
extended (warm)	47.59579052988134	86.56615790402577	51.494429077119925	72.4077727021041
base (warm)	45.81931487992808	88.17228988409249	52.4509661564043	75.67243620997887
Mistral 7B v0.1	39.33128423541271	88.40904693516762	56.95763777228367	81.09824889258029
extended instruct	52.27974115071014	78.89851531974097	41.782065991940726	77.3119918699187
base instruct	52.7200206267959	69.44594384982416	40.66235712850106	78.31131296449216
extended (warm) instruct	51.71172666831605	89.81287289262157	52.0521982944432	72.41370347265544
base (warm) instruct	51.62276863551579	87.83060497111717	52.900055513973975	75.13672192426458
