	Bokmål	Bokmål	Bokmål	Bokmål	Bokmål	Bokmål	Bokmål	Bokmål	Bokmål	Bokmål	Bokmål	Bokmål	Bokmål	Nynorsk	Nynorsk	Nynorsk	Nynorsk	Nynorsk	Nynorsk	Nynorsk	Nynorsk	Nynorsk	Nynorsk	Nynorsk	Nynorsk	Nynorsk
	nortruthfulqa_mc_nb	nrk_nb	noropenbookqa_nb	noropenbookqa_nb_use_fact	norcommonsenseqa_nb	noridiom_nb	norsumm_nb	tatoeba_eng_nob_nb	tatoeba_nob_eng_nb	tatoeba_nob_nno_nb	inverse_compression_nob	min_max_lix_nob	inverse_sb_nob	nortruthfulqa_mc_nn	nrk_nn	noropenbookqa_nn	noropenbookqa_nn_use_fact	norcommonsenseqa_nn	noridiom_nn	norsumm_nn	tatoeba_eng_nno_nn	tatoeba_nno_eng_nn	tatoeba_nno_nob_nn	inverse_sb_nno	inverse_compression_nno	min_max_lix_nno
Model																										
extended	52.63157894736842	48.97222222222222	35.400516795865634	46.111111111111114	43.57864357864358	36.784220234615404	47.39028409090108	57.074225932203774	57.295736377489845	11.658695997938201	40.32420662	59.86015	72.68	50.877192982456144	59.924812030075195	35.55555555555556	34.44444444444444	38.94736842105263	32.58523479845179	34.610031714834456	45.50011294261733	57.15808416501969	12.501189890937518	77.2965	41.91114837	73.030525
base	58.3732057416268	45.80555555555556	35.400516795865634	44.44444444444444	42.857142857142854	24.14682624954802	37.62468873329529	54.421366836079194	55.12683199194701	15.992701786134583	40.03683389	57.0525825	72.8016	54.385964912280706	54.285714285714285	32.22222222222222	34.44444444444444	36.84210526315789	14.221165897489794	27.26693371990472	44.28767573570696	55.100973465274826	24.35970694139029	78.586	41.90763557	67.601785
base + books	59.33014354066985	44.52777777777778	36.17571059431525	45.55555555555556	44.44444444444444	57.44519645639047	31.870235983141455	55.813429306882654	55.73329089827695	12.757572191096468	39.20799843	61.899285	71.0419	56.14035087719298	53.00751879699248	32.22222222222222	37.77777777777778	34.73684210526316	27.679680595186007	27.74822468171824	43.87737574520905	55.41683281776898	8.479467488167105	77.2907	41.41644233	76.608565
base + newspapers	47.84688995215311	45.83333333333333	34.366925064599485	45.0	40.83694083694084	74.91077074812806	29.838178502347073	54.24039374764313	53.96649612807062	64.20310487534377	40.67355406	62.691685	72.1036	43.859649122807014	55.18796992481203	35.55555555555556	33.33333333333333	34.73684210526316	42.6376394456195	28.68737349258728	44.96265483315292	54.404284232247626	45.30722221597817	76.5547	42.01857221	71.04502
base + books + newspapers	58.85167464114832	44.916666666666664	36.434108527131784	45.55555555555556	44.58874458874459	59.057058198849255	36.12788104867892	55.72628192733352	55.62399692238406	16.639855091572684	40.25116728	62.991205	71.7438	50.877192982456144	54.51127819548872	32.22222222222222	35.55555555555556	38.94736842105263	28.47849642737429	27.597570672802693	45.077933636577136	55.14658948817531	11.79929769175992	77.1318	42.02740187	73.4517775
base + fiction books	45.45454545454545	42.97222222222222	31.52454780361757	45.55555555555556	44.877344877344875	26.930503973963248	30.855551623822908	54.20844859932439	54.29900861397409	9.186172967049146	40.01440519	74.873205	69.211	43.859649122807014	49.473684210526315	33.33333333333333	35.55555555555556	37.89473684210527	19.52636466755581	25.970056081971585	42.667747672596555	54.46553985114272	8.92516972562235	75.3629	41.51617055	85.025755
base + nonfiction books	60.76555023923444	43.833333333333336	36.95090439276486	45.27777777777778	43.43434343434344	57.685312890536736	32.633378926969336	55.66536814363972	55.371174196794065	12.033894741976345	38.96205096	57.0105375	72.1191	63.1578947368421	53.609022556390975	32.22222222222222	34.44444444444444	37.89473684210527	31.497707058804362	26.41071940339425	45.59079094225523	54.83220154186964	9.789932580341066	78.5838	41.81825785	72.3413
base + nonfiction books + newspapers	56.45933014354066	45.0	36.17571059431525	45.83333333333333	44.300144300144304	64.04641033372374	32.81386537833686	55.73285207957635	55.356196550077485	14.401647168353257	40.04966158	62.3585475	71.838	56.14035087719298	55.18796992481203	32.22222222222222	36.666666666666664	41.05263157894737	35.258884922226585	28.750629659336013	45.435509054581615	55.02710751174252	17.05624131537576	77.4321	42.08045784	72.84494
base + original books	61.72248803827751	44.97222222222222	35.65891472868217	44.166666666666664	45.310245310245314	59.14803411072064	31.549131122799338	55.688249330821776	55.64887985502852	13.039855970166995	39.15733417	59.336895	72.3795	54.385964912280706	54.58646616541354	33.33333333333333	36.666666666666664	36.84210526315789	31.556055674802973	25.923146781215404	44.71805500218177	55.291792659042486	8.766193371316191	77.5432	41.5644873	75.014835
base + original books + newspapers	55.980861244019145	44.333333333333336	36.434108527131784	45.55555555555556	45.02164502164502	61.87400099494037	34.34063136754036	55.488172791395044	55.351363122568365	16.442273410155554	40.02081082	62.2350425	71.7394	57.89473684210527	55.037593984962406	32.22222222222222	36.666666666666664	37.89473684210527	32.83475114522497	26.99904068092186	44.43665445960026	55.598089372296485	16.526474321352442	76.9432	41.79553624	72.9655525
base + translated books	43.54066985645933	44.0	36.69250645994832	45.0	45.5988455988456	34.71295219429557	29.89545046166918	54.817387822406474	54.1173135973731	8.456110032812227	39.71721344	65.8302175	69.7556	43.859649122807014	50.150375939849624	32.22222222222222	37.77777777777778	41.05263157894737	20.662091644928704	25.126220010218177	42.67169071612275	53.06691703777972	8.717034846031398	76.2794	41.76760505	79.5463275
extended (warm)	46.889952153110045	56.388888888888886	40.56847545219638	58.88888888888889	53.246753246753244	46.34132037117111	42.48522146082886	59.329953488371515	60.5345100594092	17.738827969486213	40.62728528	59.0394425	73.5371	57.89473684210527	66.54135338345864	33.33333333333333	53.333333333333336	45.26315789473684	42.10489793810903	29.800875092780473	46.83858191658029	59.95044655477498	10.485850871827024	78.4154	42.36390595	72.7100875
base (warm)	57.89473684210527	55.94444444444444	46.51162790697674	63.33333333333333	47.61904761904761	36.22975254998971	39.77840823671633	58.69449799576176	59.74048057035781	9.725272791070992	40.43344655	56.970995	74.1926	50.877192982456144	64.9624060150376	36.666666666666664	52.22222222222223	48.421052631578945	30.79095805991804	31.982915953830535	47.5345463228695	60.17142003056592	10.955282797121141	79.0536	42.25649694	70.186515
