Model	Sentiment Analysis	Fairness & Truthfulness	Reading Comprehension	World Knowledge	Commonsense Reasoning	Norwegian Language	Summarization	Translation	Variation & Readability
extended	77.09279084889882	51.01399448941226	39.377445340955624	43.401443693212364	41.263005999848104	47.63581613921917	41.00015790286777	40.198007551034394	60.850421665
base	69.53965188724523	53.51411364367826	38.0388212165419	41.10048295804109	39.849624060150376	38.28247422723564	32.4458112266	41.54820945942215	59.66440616
base + books	76.20210581835099	55.15319459596627	33.383432514781376	41.54442712077351	39.590643274853804	51.69110021527507	29.80923033242985	38.679661407900205	61.24414846
base + newspapers	76.57027957569079	48.0374297174448	35.29318743261239	41.54618620193895	37.786891471101995	58.15995969129403	29.262775997467177	52.84735933873937	60.84785521166666
base + books + newspapers	78.94387348482914	53.06257909543325	35.09164942346898	41.532564453770085	41.76805650489861	52.11329341846065	31.86272586074081	40.002325792967106	61.26619194166667
base + fiction books	74.15956962735902	47.98779156343455	33.71358324304886	39.735816446801756	41.38604085972507	41.176360017522626	28.412803852897248	37.2920145716182	64.33390595666667
base + nonfiction books	76.30185623835497	56.51083083782644	31.83891468427926	41.056284121155606	40.66454013822435	52.484921654001944	29.52204916518179	38.880560357812676	60.139174385
base + nonfiction books + newspapers	78.9905087290538	53.90915692930111	36.65966298392607	41.84765045689158	42.67638793954583	54.50203809970186	30.782247518836435	40.50159227995117	61.10061782
base + original books	75.46229964285138	55.43442839708003	32.868558130250044	41.56404496383076	41.0761752867016	53.03876054161899	28.736138952007373	38.85883769809296	60.832708578333346
base + original books + newspapers	77.72114993183112	54.430002410034376	35.419118515771615	41.708246714978664	41.458190931875144	53.814568987422284	30.66983602423111	40.64050457956136	60.949923676666664
base + translated books	72.21566350949206	48.21379687953485	34.54031744935834	40.97381373329966	43.325738588896485	43.63364191218702	27.51083523594368	36.97440900875428	62.14939391500001
extended (warm)	86.56615790402577	54.63995115074912	52.792137754317196	51.50904554668324	49.25495557074504	48.47679267255813	36.14304827680466	42.4796951434082	61.11553687166667
base (warm)	88.17228988409249	51.283725083160455	52.479431606491346	53.27345009811351	48.020050125313276	49.513272890572175	35.880662095273436	41.13691675129118	60.515608915
Mistral 7B v0.1	88.40904693516762	64.92793149817948	56.67698844414773	58.856013580462786	36.01275917065391	31.491543539985308	10.09219528968923	41.554842850929276	59.990723790000004
extended instruct	78.89851531974097	46.10307914762648	38.675235361656384	44.31963630005246	43.57180830865042	56.46440269474696	36.404724308426424	54.637242519772265	59.28823001833333
base instruct	69.44594384982416	50.59258077509674	36.26994172928997	41.1807603634409	42.0566567934989	53.528772612424085	35.14253036452975	58.8252878813262	58.34522032666666
extended (warm) instruct	89.81287289262157	57.80476871077167	51.687258527355866	53.09034294392311	49.76000607579555	55.91400047313904	37.74725404626755	47.723231473383095	60.35321766166667
base (warm) instruct	87.83060497111717	53.69946298766538	50.330877821304135	54.979203499705335	49.42052099946837	59.52807721342262	38.35548442002667	49.75203475855312	59.46209810333334
